,tenure,MonthlyCharges,TotalCharges,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_Two year,PaymentMethod_Electronic check
2182,56,103.2,5873.75,1,0,0,1,1
6550,21,106.1,2249.95,1,0,1,0,1
5079,15,95.7,1451.1,1,0,1,0,1
2445,27,74.4,1972.35,1,0,1,0,0
6149,1,25.85,25.85,0,0,0,0,0
6577,70,72.95,5265.55,0,0,0,1,0
1465,1,74.6,74.6,1,0,1,0,0
4410,16,94.65,1461.15,1,0,1,0,0
1797,30,19.4,578.5,0,1,0,1,0
3382,72,25.55,1867.7,0,1,0,1,0
5110,8,73.5,632.2,1,0,1,0,1
2577,1,94.6,94.6,1,0,1,0,1
4658,8,44.45,369.3,0,0,1,0,0
5190,29,103.95,2964.8,1,0,1,0,1
3755,4,76.05,318.9,1,0,1,0,1
6552,2,79.75,159.4,1,0,1,0,0
2789,24,88.95,2072.75,1,0,1,0,0
3108,43,106.0,4532.3,1,0,0,0,0
3531,16,19.35,295.55,0,1,0,0,0
4204,5,85.55,408.5,1,0,1,0,1
2749,34,77.2,2753.8,0,0,0,0,0
6938,67,69.9,4615.9,0,0,0,1,0
6846,1,79.55,79.55,1,0,1,0,0
573,56,100.3,5614.45,1,0,0,0,0
2886,60,104.95,6236.75,1,0,1,0,0
4813,46,99.8,4391.25,1,0,1,0,1
977,11,75.25,888.65,1,0,1,0,1
3835,24,19.9,533.5,0,1,0,0,0
5868,1,44.0,44.0,0,0,1,0,0
5775,58,82.5,4828.05,1,0,0,1,0
2706,2,76.4,151.8,1,0,1,0,1
3901,67,111.3,7567.2,1,0,0,1,0
5384,4,64.4,253.0,0,0,1,0,0
627,66,104.6,6819.45,1,0,0,0,0
1820,6,45.65,323.45,0,0,1,0,0
4787,4,54.7,235.05,0,0,1,0,0
657,45,78.8,3597.5,0,0,0,0,0
2979,57,53.5,3035.8,0,0,0,0,1
5858,61,19.45,1336.35,0,1,0,0,0
2417,10,35.75,389.8,0,0,1,0,1
4579,31,81.15,2640.55,1,0,1,0,1
564,7,64.3,445.95,0,0,1,0,0
6431,17,19.15,343.45,0,1,0,1,0
1009,23,20.75,485.2,0,1,0,0,1
1487,56,106.8,5914.4,1,0,0,0,1
3734,72,108.1,7774.05,1,0,0,1,0
4096,20,89.4,1871.15,1,0,1,0,0
5534,21,80.35,1747.2,1,0,1,0,1
851,52,85.15,4461.85,0,0,0,1,0
1981,58,102.1,5885.4,1,0,1,0,0
4000,39,99.75,4036.0,1,0,1,0,1
1659,68,70.8,4859.95,0,0,0,1,0
4332,54,60.0,3273.95,0,0,0,1,0
5307,1,90.1,90.1,1,0,1,0,1
6333,60,106.0,6441.4,1,0,0,0,1
2858,10,20.55,252.75,0,1,1,0,0
4283,4,70.2,280.35,1,0,1,0,1
164,11,20.6,233.9,0,1,0,0,0
61,60,89.9,5450.7,1,0,1,0,0
2232,36,19.45,754.5,0,1,0,1,0
1106,63,97.45,6253.0,1,0,0,1,0
6566,70,116.55,8152.3,1,0,0,1,0
2248,30,54.45,1588.7,0,0,1,0,0
4744,64,20.05,1198.05,0,1,0,1,0
1976,1,93.55,93.55,1,0,1,0,1
4844,37,20.3,755.4,0,1,0,0,0
1894,46,43.95,2007.85,0,0,1,0,1
4145,13,67.8,842.25,0,0,1,0,0
4074,58,98.7,5812.6,1,0,1,0,1
5726,47,21.3,1041.8,0,1,0,1,0
3711,55,75.75,4264.25,0,0,0,0,0
6179,11,95.15,997.65,1,0,1,0,0
2242,44,24.85,1013.6,0,1,0,0,1
511,61,106.45,6300.15,1,0,1,0,1
1570,23,20.4,478.75,0,1,0,1,0
3619,72,85.3,6129.2,0,0,0,1,0
5436,1,54.5,54.5,0,0,1,0,1
1468,62,92.3,5731.45,1,0,0,0,0
4148,29,19.35,601.6,0,1,1,0,0
6478,60,110.8,6640.7,1,0,0,1,0
3238,26,19.65,494.9,0,1,0,1,0
1050,12,43.65,526.95,0,0,1,0,1
2596,21,58.85,1215.45,0,0,0,0,0
865,4,80.6,319.15,1,0,1,0,0
1992,17,83.55,1329.15,1,0,1,0,1
3149,8,64.1,504.05,0,0,1,0,0
5705,1,19.65,19.65,0,1,1,0,0
5850,20,71.3,1389.2,1,0,1,0,0
3776,43,56.35,2391.15,0,0,0,0,0
6871,52,94.6,5025.8,1,0,1,0,0
2616,6,44.6,260.8,0,0,1,0,0
4487,4,24.1,73.1,0,1,0,0,0
3231,15,84.45,1287.85,0,0,1,0,0
1701,66,102.45,6615.15,1,0,0,0,0
1775,65,109.05,7108.2,1,0,0,1,1
1276,71,99.4,7168.25,1,0,0,1,1
2407,2,70.7,141.45,1,0,1,0,1
4743,56,59.5,3389.25,0,0,0,1,0
3774,52,80.85,4079.55,0,0,0,0,1
1306,70,115.55,8127.6,1,0,0,0,0
4559,6,20.15,130.5,0,1,1,0,0
519,12,20.05,265.45,0,1,1,0,0
1700,47,20.45,943.0,0,1,0,1,0
3537,25,53.65,1355.45,0,0,0,0,0
3517,70,109.5,7534.65,1,0,0,0,0
2489,68,78.45,5333.35,0,0,0,0,1
2258,56,52.7,3019.7,0,0,0,0,0
2972,72,65.25,4478.85,0,0,0,1,0
899,50,94.4,4914.9,1,0,1,0,0
4092,1,20.25,20.25,0,1,1,0,0
6373,44,92.95,4122.9,1,0,1,0,0
4873,7,19.3,144.95,0,1,1,0,0
3720,42,54.55,2455.05,0,0,1,0,0
2099,40,78.85,3126.85,1,0,1,0,0
4334,11,76.4,838.7,1,0,1,0,1
4230,11,73.5,791.75,1,0,1,0,1
2056,51,81.0,4085.75,1,0,1,0,0
5982,15,19.8,304.6,0,1,0,0,0
5297,54,20.35,1092.35,0,1,0,1,0
1624,56,98.25,5508.35,1,0,0,0,1
2018,1,45.3,45.3,0,0,1,0,0
4267,72,91.15,6637.9,0,0,0,1,0
3418,54,109.55,6118.95,1,0,1,0,1
1154,45,24.65,1138.8,0,1,0,1,0
2499,41,70.2,2894.55,0,0,0,0,0
479,15,69.0,994.8,1,0,1,0,0
3632,24,79.65,1928.7,1,0,1,0,0
4446,3,79.9,260.9,1,0,1,0,1
6363,9,74.85,708.2,1,0,1,0,1
1575,66,99.5,6710.5,1,0,1,0,1
3640,29,95.9,2745.2,1,0,1,0,1
3234,24,19.7,452.55,0,1,0,1,0
1279,25,20.95,495.15,0,1,0,0,0
4635,40,20.15,777.35,0,1,0,1,0
6122,17,19.55,280.85,0,1,0,0,0
4979,56,24.45,1385.85,0,1,0,1,0
3498,43,75.2,3198.6,1,0,1,0,1
1429,45,24.45,1088.25,0,1,0,1,0
1519,2,42.6,72.4,0,0,1,0,1
2352,8,19.7,168.9,0,1,1,0,0
6544,42,104.75,4323.45,1,0,1,0,0
4908,28,106.15,3152.5,1,0,1,0,1
3682,1,69.1,69.1,1,0,1,0,1
5812,1,71.0,71.0,1,0,1,0,1
1996,67,67.85,4627.65,0,0,0,1,0
1935,51,19.85,996.95,0,1,0,0,0
6167,47,90.05,4137.2,1,0,1,0,1
622,40,85.05,3355.65,1,0,0,0,1
1132,11,104.05,1133.65,1,0,1,0,0
1802,7,38.55,280.0,0,0,0,1,0
6426,41,50.05,2029.05,0,0,0,0,0
6541,19,20.5,398.55,0,1,0,1,0
5408,51,24.95,1288.0,0,1,0,1,0
4355,6,50.35,314.55,0,0,1,0,1
4465,31,50.05,1523.4,0,0,0,0,1
5318,32,73.6,2316.85,0,0,0,1,0
4975,72,103.75,7346.2,1,0,0,1,0
2403,71,84.8,6046.1,0,0,0,0,0
4988,26,19.2,459.6,0,1,0,0,0
5981,38,20.2,746.05,0,1,0,1,0
2822,41,79.9,3326.2,0,0,1,0,0
1341,3,54.7,169.45,0,0,1,0,0
2376,11,61.25,729.95,0,0,0,0,1
7013,40,93.4,3756.4,1,0,1,0,0
2125,67,75.5,5229.45,0,0,0,1,1
5952,4,25.45,84.2,0,1,1,0,0
4320,71,20.85,1539.75,0,1,0,0,1
1762,35,89.65,3161.6,1,0,1,0,0
1059,23,90.6,1943.2,1,0,1,0,1
4015,36,54.45,1893.5,0,0,0,0,0
4012,1,50.55,50.55,0,0,1,0,1
166,4,70.9,273.0,1,0,1,0,0
3602,38,66.15,2522.4,0,0,1,0,0
4764,2,45.15,98.5,0,0,1,0,1
2505,34,20.1,682.1,0,1,0,0,0
2718,62,43.7,2618.3,0,0,0,1,0
3662,9,45.15,416.45,0,0,1,0,1
5420,70,114.3,8244.3,1,0,0,1,0
3668,22,59.75,1374.35,0,0,0,0,0
2751,19,24.85,434.8,0,0,1,0,0
6652,36,18.55,689.0,0,1,0,1,0
1838,54,90.05,4931.8,1,0,1,0,1
2004,24,89.85,2165.05,1,0,1,0,0
3530,17,69.0,1108.0,0,0,1,0,0
6369,67,105.05,7171.7,1,0,0,1,1
5565,18,39.05,669.85,0,0,1,0,1
2006,5,47.15,223.15,0,0,1,0,1
1012,9,95.9,827.45,1,0,1,0,0
6395,41,102.6,4213.35,1,0,0,0,1
1166,5,53.8,283.95,0,0,1,0,1
874,45,99.7,4634.35,1,0,0,1,0
2958,1,19.55,19.55,0,1,1,0,0
2371,1,25.7,25.7,0,1,1,0,1
4057,72,24.9,1859.2,0,1,0,1,0
3872,9,103.1,970.45,1,0,1,0,1
6354,61,93.7,5860.7,1,0,0,0,0
2896,13,19.95,253.8,0,1,0,0,1
6979,1,24.2,24.2,0,0,1,0,0
3004,1,89.15,89.15,1,0,1,0,0
2699,34,96.35,3190.25,1,0,1,0,1
3064,21,68.65,1493.2,1,0,1,0,1
3046,61,103.3,6518.35,1,0,0,0,0
2117,72,64.45,4528.0,0,0,0,1,0
5304,13,70.45,849.1,1,0,1,0,0
4605,63,67.25,4234.15,0,0,0,1,0
256,61,115.1,7008.15,1,0,0,1,0
6986,30,94.1,2804.45,1,0,1,0,0
5438,9,79.9,741.7,1,0,1,0,1
2951,20,64.15,1274.45,0,0,0,0,0
3939,1,78.65,78.65,1,0,1,0,1
3477,18,74.15,1345.75,1,0,1,0,1
4919,70,39.15,2692.75,0,0,0,1,0
2702,1,44.0,44.0,0,0,1,0,1
5551,20,19.6,356.15,0,1,1,0,0
5666,35,53.15,1930.9,0,0,0,0,0
4165,6,87.95,522.35,1,0,1,0,0
6809,4,74.95,308.7,1,0,1,0,1
1803,36,53.1,1901.25,0,0,0,1,0
883,67,111.25,7511.65,1,0,0,0,1
792,8,19.85,146.6,0,1,0,1,0
5590,25,19.15,477.6,0,1,1,0,0
825,16,89.45,1430.25,1,0,1,0,0
5181,72,90.8,6397.6,0,0,0,1,0
1740,40,20.4,745.3,0,1,1,0,0
2569,72,24.85,1871.85,0,1,0,1,0
1314,39,89.55,3474.45,1,0,0,0,1
5805,19,66.4,1286.05,0,0,1,0,0
2412,42,33.55,1445.3,0,0,0,0,0
742,10,98.55,1008.55,1,0,1,0,1
4044,70,84.8,5917.55,0,0,0,1,0
4810,15,89.85,1424.95,1,0,1,0,1
1773,68,19.35,1292.65,0,1,0,1,0
4279,25,25.4,546.85,0,1,1,0,0
3430,53,95.95,5036.9,1,0,0,0,1
3212,40,80.0,3168.75,1,0,1,0,1
5623,40,51.1,2092.9,0,0,1,0,1
4624,8,94.7,740.3,1,0,1,0,1
5208,14,59.45,780.85,0,0,1,0,0
3982,71,24.35,1654.6,0,1,0,1,0
366,23,59.95,1406.0,0,0,1,0,0
218,65,84.2,5324.5,0,0,0,1,0
2400,9,93.0,870.25,1,0,1,0,0
6492,24,19.75,483.15,0,1,0,1,0
6079,25,54.1,1373.0,0,0,1,0,1
1003,37,19.85,784.25,0,1,0,1,0
772,1,19.9,19.9,0,1,1,0,0
581,1,75.3,75.3,1,0,1,0,0
6759,51,93.65,4839.15,1,0,0,0,0
2332,47,66.05,3021.45,0,0,0,0,0
6217,62,81.45,4983.05,1,0,0,0,0
3060,25,38.1,970.4,0,0,0,0,0
63,18,54.4,957.1,0,0,0,0,0
4594,21,102.8,2110.15,1,0,1,0,1
964,1,45.7,45.7,0,0,1,0,0
1710,5,82.75,417.75,1,0,1,0,1
124,4,20.85,62.9,0,1,1,0,0
2815,3,88.35,262.05,1,0,1,0,0
5147,28,30.1,810.85,0,0,1,0,0
2657,29,66.1,1912.15,0,0,1,0,1
1853,1,45.15,45.15,0,0,1,0,1
7021,12,59.8,727.8,0,0,0,0,1
7040,11,29.6,346.45,0,0,1,0,1
368,71,98.65,6962.85,1,0,0,0,0
3756,1,24.45,24.45,0,0,1,0,0
2493,6,90.75,512.25,1,0,1,0,1
3960,3,57.55,161.45,0,0,1,0,1
5447,3,44.75,148.05,0,0,1,0,0
5300,1,80.05,80.05,1,0,1,0,0
5001,19,55.0,1046.5,0,0,1,0,0
2322,49,20.45,1024.65,0,1,0,1,0
1089,16,74.75,1129.35,1,0,1,0,0
2148,6,19.55,128.6,0,1,1,0,0
1402,18,35.0,553.0,0,0,1,0,1
6056,58,71.1,4299.2,0,0,0,0,0
6400,72,59.75,4265.0,0,0,0,1,0
72,64,111.6,7099.0,1,0,0,1,0
2966,14,46.35,672.7,0,0,1,0,1
2416,27,100.5,2673.45,1,0,0,0,0
3412,2,59.5,130.5,0,0,0,1,0
2475,53,99.5,5424.25,1,0,0,1,0
3079,4,68.65,261.25,0,0,1,0,0
2532,41,101.1,4016.2,1,0,0,0,0
2892,1,20.45,20.45,0,1,1,0,0
2448,14,104.85,1531.4,1,0,1,0,1
6358,72,80.45,5886.85,0,0,0,1,0
1724,3,94.9,273.2,1,0,1,0,1
1399,14,19.55,294.5,0,1,0,0,0
3452,1,44.95,44.95,0,0,1,0,0
4677,10,99.85,990.9,1,0,1,0,1
328,28,35.9,973.65,0,0,1,0,1
69,10,79.85,887.35,1,0,1,0,0
3275,14,20.4,292.4,0,1,0,1,0
4982,61,104.4,6405.0,1,0,0,0,0
2092,72,79.55,5810.9,0,0,0,1,0
6902,56,68.45,4014.0,0,0,0,0,0
6384,10,20.1,184.4,0,1,0,0,0
81,11,50.55,565.35,0,0,1,0,1
6261,62,20.45,1297.35,0,1,0,1,0
817,55,103.7,5656.75,1,0,0,0,0
3057,25,19.6,411.15,0,1,0,0,1
544,13,45.55,597.0,0,0,1,0,0
4790,31,84.85,2633.4,1,0,1,0,1
5794,72,109.75,7932.5,1,0,0,1,0
1998,2,44.6,97.1,0,0,1,0,1
5867,44,19.35,847.25,0,1,0,1,0
6677,13,29.15,357.15,0,0,1,0,1
5774,5,65.6,339.9,0,0,1,0,0
2590,25,88.4,2191.15,1,0,1,0,0
954,22,95.1,2162.6,1,0,1,0,1
2456,47,24.55,1160.45,0,1,0,1,0
3987,11,76.5,837.95,1,0,1,0,1
4472,68,80.35,5375.15,1,0,0,1,0
1956,72,101.3,7261.25,1,0,0,1,0
5723,58,80.65,4807.35,1,0,1,0,0
3334,41,106.3,4443.45,1,0,1,0,1
140,72,88.05,6425.65,0,0,0,1,0
2538,34,40.55,1325.85,0,0,0,1,1
6019,41,80.55,3263.9,0,0,0,0,1
2436,31,73.55,2094.65,1,0,1,0,0
6473,1,94.4,94.4,1,0,1,0,1
2415,40,94.55,3640.45,1,0,1,0,0
3903,53,80.6,4348.1,1,0,1,0,0
2827,1,50.15,50.15,0,0,1,0,0
6727,13,45.3,528.45,0,0,1,0,1
2143,30,74.85,2181.75,0,0,0,1,1
4194,71,25.95,1801.9,0,1,0,1,0
1271,53,53.6,2879.2,0,0,0,0,1
6262,45,96.75,4442.75,1,0,0,0,0
934,12,33.6,435.45,0,0,0,0,0
4009,63,86.7,5309.5,0,0,0,1,0
4239,56,36.1,1971.5,0,0,0,0,0
1467,23,73.75,1756.6,0,0,0,0,0
1117,52,89.45,4577.75,1,0,0,1,0
6408,69,106.5,7348.8,1,0,0,1,0
5964,49,61.75,3024.15,0,0,1,0,0
1856,38,57.15,2250.65,0,0,1,0,0
699,72,66.5,4811.6,0,0,0,1,0
2355,67,54.2,3838.2,0,0,0,1,0
5961,1,35.9,35.9,0,0,1,0,0
2893,22,59.0,1254.7,0,0,1,0,1
5010,61,88.65,5321.25,0,0,0,1,0
5601,35,40.9,1383.6,0,0,0,0,0
4175,61,20.4,1226.45,0,1,0,0,0
1628,30,90.05,2627.2,1,0,1,0,1
5614,68,85.5,5696.6,1,0,0,0,0
6720,70,84.1,5979.7,0,0,0,1,1
3575,59,51.7,3005.8,0,0,1,0,1
5365,62,20.0,1250.1,0,1,0,1,0
2130,51,94.8,4837.6,1,0,0,0,1
5998,48,20.05,1036.0,0,1,0,1,0
3078,2,85.55,187.45,1,0,1,0,1
2071,67,94.1,6302.8,1,0,0,1,0
6974,51,98.85,4947.55,1,0,0,0,1
2574,39,95.65,3759.05,1,0,1,0,0
6625,12,91.3,1094.5,1,0,1,0,1
5830,30,25.35,723.3,0,1,0,0,0
2614,67,94.35,6341.45,1,0,0,0,0
669,70,57.8,4039.3,0,0,0,1,0
4128,57,39.3,2111.45,0,0,1,0,1
4845,20,39.4,825.4,0,0,0,1,0
988,27,19.15,537.35,0,1,1,0,0
4496,72,89.75,6595.9,0,0,0,1,0
5015,34,65.0,2157.5,0,0,1,0,0
4412,66,25.45,1699.15,0,1,0,0,0
4726,72,49.2,3580.95,0,0,0,1,1
2103,11,70.2,834.7,1,0,1,0,1
4710,6,40.55,217.5,0,0,0,1,0
1270,63,24.65,1574.5,0,1,0,1,0
867,5,20.5,104.3,0,1,1,0,0
6811,1,50.35,50.35,0,0,1,0,1
775,72,110.65,8065.65,1,0,0,1,0
3202,1,55.25,55.25,0,0,1,0,1
3454,29,35.65,1025.15,0,0,1,0,0
6657,49,20.45,900.9,0,1,0,0,0
2469,29,20.0,599.3,0,1,0,0,0
3126,26,38.85,1025.15,0,0,1,0,0
3773,1,25.2,25.2,0,0,1,0,0
4140,63,99.9,6137.0,1,0,0,0,0
3088,46,81.0,3846.35,0,0,0,1,0
2317,49,25.25,1211.65,0,1,0,1,0
2644,18,33.5,600.0,0,0,1,0,0
1037,13,49.15,649.4,0,0,1,0,1
3683,71,54.5,3778.2,0,0,0,1,0
3204,40,20.4,854.9,0,1,0,0,0
6898,22,100.05,2090.25,1,0,0,0,0
2201,36,85.85,3003.55,0,0,0,0,0
2293,72,85.95,6151.9,0,0,0,1,0
1916,44,84.8,3862.55,1,0,1,0,0
2536,25,25.3,676.35,0,1,0,0,0
6947,68,101.05,6770.5,1,0,0,0,0
2587,27,20.05,552.9,0,1,0,0,0
6896,1,43.95,43.95,0,0,1,0,0
9,62,56.15,3487.95,0,0,0,0,0
5780,53,20.2,1068.15,0,1,0,0,0
6274,57,86.9,4939.25,1,0,0,0,1
650,3,69.55,222.3,1,0,1,0,0
1822,31,86.55,2697.4,1,0,1,0,0
6406,39,50.65,1905.4,0,0,1,0,0
3707,69,19.9,1356.7,0,1,0,1,0
1868,1,44.05,44.05,0,0,1,0,0
1844,59,66.4,3958.2,0,0,0,0,0
4667,20,19.25,375.25,0,1,1,0,0
945,3,74.4,215.8,1,0,1,0,0
2423,18,20.1,407.05,0,1,0,0,0
2495,38,20.25,814.75,0,1,0,0,0
1728,45,81.65,3618.7,0,0,0,1,0
393,19,19.9,367.55,0,1,1,0,0
1769,71,93.25,6669.45,1,0,1,0,0
7033,38,69.5,2625.25,1,0,1,0,0
2763,64,81.05,5135.35,1,0,1,0,1
1777,28,54.9,1505.15,0,0,1,0,0
2632,55,64.75,3617.1,0,0,0,1,0
6450,27,19.9,550.1,0,1,0,1,0
1796,23,73.65,1642.75,0,0,1,0,0
5641,39,25.45,958.45,0,1,0,0,0
2913,52,63.9,3334.95,0,0,0,1,0
556,1,19.9,19.9,0,1,1,0,0
569,11,40.4,422.6,0,0,0,0,0
5951,37,100.3,3541.4,1,0,1,0,0
4168,61,62.15,3778.85,0,0,0,1,0
2745,1,86.05,86.05,1,0,1,0,1
3563,30,90.5,2595.85,1,0,1,0,0
866,62,39.0,2337.45,0,0,0,1,0
3804,10,79.85,797.25,1,0,1,0,1
5842,13,78.75,995.35,0,0,1,0,1
4520,1,19.95,19.95,0,1,1,0,0
6826,4,20.7,83.75,0,1,1,0,0
2578,31,98.9,2911.3,1,0,1,0,1
4992,51,30.05,1529.45,0,0,1,0,0
5113,71,113.65,8166.8,1,0,0,1,0
3850,51,83.25,4089.45,0,0,0,1,0
6688,12,20.3,224.5,0,1,0,1,0
3758,1,49.55,49.55,0,0,1,0,0
1782,26,66.05,1652.4,0,0,1,0,1
416,70,98.7,6858.9,1,0,0,1,0
5934,26,93.85,2381.55,1,0,1,0,1
3135,38,99.55,3734.25,1,0,1,0,1
5503,35,20.05,746.75,0,1,0,0,0
411,46,24.45,1066.15,0,1,0,0,0
1801,22,69.7,1490.4,1,0,1,0,0
1220,17,65.75,1111.2,0,0,1,0,0
5862,17,70.5,1165.6,1,0,1,0,0
5643,1,75.9,75.9,1,0,1,0,1
3077,45,53.3,2296.25,0,0,0,1,0
1281,36,19.25,679.8,0,1,0,0,0
1061,72,112.4,8046.85,1,0,0,1,1
3134,36,19.2,702.9,0,1,1,0,0
3163,39,90.7,3413.25,1,0,1,0,1
4546,12,84.5,916.9,1,0,1,0,1
1988,58,108.85,6287.25,1,0,0,0,1
6105,52,111.25,5916.45,1,0,0,0,0
1396,64,100.05,6254.2,1,0,0,0,0
6115,72,109.5,7854.9,1,0,0,1,0
760,1,20.8,20.8,0,1,1,0,0
225,24,50.6,1288.75,0,0,0,0,0
331,8,19.2,161.95,0,1,0,0,0
4887,38,20.45,781.25,0,1,1,0,0
2231,10,70.0,740.0,1,0,1,0,1
6031,12,29.3,355.9,0,0,1,0,0
2727,5,94.85,462.8,1,0,1,0,0
503,52,84.05,4326.8,1,0,1,0,0
246,41,65.0,2531.8,0,0,0,0,0
2626,60,50.05,2911.5,0,0,0,0,1
2802,32,104.9,3351.55,1,0,1,0,1
4896,24,49.7,1167.8,0,0,1,0,0
2314,72,93.25,6688.95,0,0,0,1,0
6789,1,20.2,20.2,0,1,1,0,0
6499,1,20.3,20.3,0,1,1,0,0
3224,7,74.65,521.1,0,0,1,0,1
3873,51,34.2,1782.0,0,0,0,1,0
4660,2,19.5,31.55,0,1,1,0,0
3138,1,45.3,45.3,0,0,1,0,1
2933,68,24.0,1664.3,0,1,0,1,0
4400,7,24.7,149.05,0,0,1,0,1
5779,39,95.55,3692.85,1,0,0,0,1
5105,40,99.2,4062.2,1,0,0,0,0
347,70,19.45,1303.5,0,1,0,1,0
1031,27,71.6,1957.1,0,0,1,0,0
2334,16,85.05,1391.15,1,0,1,0,0
5255,31,76.05,2227.8,1,0,1,0,1
2094,18,19.65,391.7,0,1,1,0,0
364,18,75.9,1373.05,1,0,1,0,0
1075,59,96.65,5580.8,1,0,1,0,0
426,52,105.1,5376.4,1,0,0,0,0
4170,72,115.15,8349.45,1,0,0,1,0
2530,7,100.4,715.0,1,0,1,0,1
2483,46,100.7,4541.2,1,0,1,0,1
3844,35,85.95,3110.1,0,0,0,0,0
35,72,99.9,7251.7,1,0,0,1,0
3871,3,101.55,298.35,1,0,1,0,0
6725,37,19.5,805.2,0,1,1,0,0
6088,1,55.4,55.4,0,0,1,0,1
2031,5,25.05,125.5,0,0,1,0,0
4857,20,24.9,505.95,0,0,1,0,0
6941,61,50.7,3088.75,0,0,0,0,0
850,72,115.8,8476.5,1,0,0,1,0
2014,13,61.8,750.1,0,0,1,0,0
1963,8,70.7,553.4,1,0,1,0,0
3178,52,84.1,4348.65,1,0,1,0,1
6232,5,100.5,514.0,1,0,1,0,1
3445,46,103.15,4594.65,1,0,0,0,1
2774,6,50.05,288.35,0,0,1,0,0
1412,15,84.3,1308.4,1,0,1,0,1
4040,59,34.8,1980.3,0,0,0,0,0
5271,13,66.4,831.75,0,0,1,0,0
6371,24,25.15,553.0,0,1,0,1,0
729,65,74.2,4805.65,0,0,0,1,0
6907,41,70.25,2868.05,1,0,1,0,0
6520,2,85.85,167.3,1,0,1,0,1
6626,6,95.75,573.75,1,0,1,0,1
769,17,64.8,1175.6,0,0,0,0,0
1426,71,92.0,6585.2,1,0,0,0,1
4646,1,70.7,70.7,1,0,1,0,0
3143,13,72.8,930.05,0,0,1,0,1
3803,61,94.1,5638.3,1,0,0,1,1
593,30,84.3,2438.6,1,0,1,0,0
288,8,74.5,606.55,1,0,1,0,1
6502,44,56.25,2419.55,0,0,1,0,0
3972,45,50.9,2298.55,0,0,1,0,0
3906,1,78.8,78.8,1,0,1,0,1
204,44,68.85,2958.95,1,0,1,0,0
6964,49,56.3,2780.6,0,0,0,0,0
1641,72,87.1,6230.1,0,0,0,1,0
4823,1,53.95,53.95,0,0,1,0,1
5497,49,51.8,2541.25,0,0,0,0,0
6288,2,79.45,145.15,1,0,1,0,1
4207,21,43.55,1011.5,0,0,1,0,0
4775,24,99.3,2431.35,1,0,1,0,0
4972,71,25.05,1873.7,0,1,0,1,0
6398,71,106.0,7723.7,1,0,0,1,0
6235,22,40.05,880.2,0,0,1,0,0
6140,3,19.95,58.0,0,1,1,0,0
6425,52,44.25,2276.1,0,0,0,0,0
4601,45,103.65,4747.85,1,0,1,0,0
2694,8,19.65,169.75,0,1,1,0,0
2260,3,80.1,217.55,1,0,1,0,0
2319,11,90.6,1020.2,1,0,1,0,1
3657,37,24.1,861.85,0,1,0,1,0
952,22,55.1,1253.15,0,0,1,0,0
3316,26,47.85,1190.5,0,0,0,0,0
3555,20,85.25,1734.5,1,0,1,0,1
6638,57,20.75,1118.8,0,1,0,1,0
6004,67,84.8,5598.3,1,0,0,0,0
940,24,21.05,531.55,0,1,0,0,0
3742,41,106.5,4282.4,1,0,1,0,1
1965,24,49.55,1210.4,0,0,1,0,0
3491,44,70.95,3250.45,0,0,0,0,1
3080,2,24.3,38.45,0,0,1,0,0
6194,68,83.65,5733.4,1,0,0,0,0
2272,1,49.85,49.85,0,0,1,0,1
2557,3,45.45,141.7,0,0,1,0,0
889,63,100.55,6215.35,1,0,1,0,1
5885,23,24.35,538.5,0,1,0,0,0
5627,7,74.85,485.25,1,0,1,0,1
5972,15,55.0,757.1,0,0,1,0,0
6695,71,71.1,5224.95,0,0,0,1,0
62,72,42.1,2962.0,0,0,0,1,0
4512,70,75.5,5212.65,0,0,0,1,0
5404,46,95.65,4664.2,1,0,0,0,0
1083,2,80.95,171.15,1,0,1,0,1
3386,58,68.4,3972.25,0,0,0,0,1
1188,35,99.25,3532.0,1,0,0,0,1
458,2,20.0,38.0,0,1,1,0,0
1069,20,54.0,1055.9,0,0,0,0,0
3205,72,117.6,8308.9,1,0,0,1,0
4083,68,100.2,6851.65,1,0,1,0,1
4396,1,25.1,25.1,0,0,1,0,1
1162,67,72.35,4991.5,0,0,0,0,0
1307,36,75.55,2680.15,0,0,0,0,0
873,60,50.8,3027.4,0,0,1,0,1
1128,27,19.4,529.8,0,1,1,0,1
4144,21,103.85,2215.0,1,0,1,0,0
6083,64,24.4,1548.65,0,1,0,1,0
2589,3,76.05,231.8,1,0,1,0,1
4893,2,44.65,74.9,0,0,1,0,0
233,72,20.25,1566.9,0,1,0,1,0
4880,50,20.55,1067.65,0,1,0,1,0
1160,23,95.1,2326.05,1,0,1,0,1
4614,7,20.25,144.35,0,1,1,0,0
4109,2,25.05,56.35,0,0,1,0,1
3505,9,24.95,190.25,0,0,1,0,1
1709,30,69.1,2093.9,0,0,0,1,0
1993,1,45.7,45.7,0,0,1,0,1
1819,61,51.35,3244.4,0,0,0,1,0
6243,72,83.6,5959.3,0,0,0,1,0
571,47,59.6,2754.0,0,0,0,1,0
2090,48,29.5,1423.05,0,0,1,0,0
4941,3,19.8,58.15,0,1,1,0,0
3195,9,80.55,653.9,1,0,1,0,1
199,1,20.75,20.75,0,1,1,0,0
4394,19,59.55,1144.6,0,0,1,0,1
281,10,51.2,498.25,0,0,1,0,1
1027,47,94.9,4615.25,1,0,0,0,0
