,Churn
6156,0
1389,1
1764,0
5763,0
5226,0
701,0
5989,1
5854,0
278,0
2768,0
4954,1
3119,1
5494,1
4613,1
4971,0
4025,1
7012,0
4741,0
6591,1
6645,0
4490,0
3254,0
1719,0
2695,0
468,0
1371,1
2055,0
2027,0
5219,0
88,0
2330,0
6185,0
863,1
1825,0
6386,0
4695,0
3197,1
4209,0
3193,0
1863,0
6872,0
2591,0
5323,0
4895,0
639,1
4946,1
3425,0
5819,0
6477,0
4097,0
4577,0
3264,0
897,0
4451,0
1951,0
1283,0
4399,0
418,1
306,1
390,0
3121,1
4314,1
3190,0
5671,0
5698,1
585,1
5770,0
1634,0
6595,0
1541,0
2024,0
5424,0
2888,1
1391,0
6278,0
6116,0
3390,0
4548,1
3165,0
4686,0
270,1
6885,1
5983,0
6379,1
5335,0
34,0
1923,0
3807,1
601,0
4871,0
1640,0
5999,0
681,0
2986,0
932,0
5788,0
4077,0
4827,1
5750,1
3363,0
5802,0
2772,0
6062,0
1841,0
4282,0
3031,1
2373,0
4698,1
5246,1
1233,0
1323,0
3806,0
5301,1
1374,0
1790,1
6962,1
2176,0
2290,1
3083,0
3279,0
6203,0
6776,0
1685,0
5673,0
2316,0
4800,1
5466,0
594,0
447,0
5571,0
6569,0
1140,0
6897,0
41,0
6164,0
2460,0
2633,0
5372,0
5878,0
3885,0
5006,1
1874,0
5059,1
5922,0
6287,1
5427,0
4245,0
789,0
2610,1
2336,1
854,0
5649,0
16,0
6865,0
67,0
3457,0
1016,0
408,1
5037,1
5296,0
5152,0
4075,0
4499,1
5539,0
1436,1
4911,0
4560,0
5740,0
2335,0
6032,1
733,0
4419,0
4143,1
2467,0
6669,0
20,1
804,1
2770,1
3351,1
4211,1
1944,1
2480,1
6306,0
5263,0
3167,0
5131,1
1715,0
3137,0
1247,0
1592,1
5451,0
2746,0
2116,1
3761,0
1908,0
4056,1
3697,0
1025,0
5815,1
485,0
2093,0
4095,0
6662,0
4765,0
5777,0
191,1
4899,1
405,0
1752,0
6127,0
2230,0
5594,0
5810,1
995,1
6893,1
4190,1
5340,0
3415,1
3421,0
806,0
2301,0
5692,0
367,0
6708,1
2811,0
4629,0
2295,1
4961,0
3,0
3398,0
2529,1
5160,0
4345,0
1806,0
5315,1
791,0
1414,0
4237,1
6399,0
1614,0
1621,1
501,0
2854,0
6741,1
3359,0
3647,0
1138,0
5371,1
6580,0
5373,0
5082,0
1135,0
3858,0
4835,0
3428,1
2283,1
1286,0
1982,0
4069,0
4824,0
869,0
4869,0
2028,0
4220,0
6849,0
6518,1
1732,0
241,0
6845,0
7014,0
1918,0
1652,0
5321,0
2010,1
6160,0
896,0
6271,0
6587,0
404,0
5056,0
3724,0
6510,0
1501,0
3809,0
5443,0
5941,0
5800,0
6186,1
2897,0
2482,0
2155,1
3837,1
1417,0
4980,0
3937,0
918,0
3169,0
2172,0
2722,0
4870,0
5715,1
2199,0
5686,1
1249,1
5078,0
871,0
709,0
6880,0
284,1
4558,1
466,0
135,0
2115,0
3927,1
52,0
6325,1
3612,0
758,1
5664,1
754,0
4891,0
5808,0
1001,1
621,0
6881,0
7022,0
3438,1
6131,1
3760,0
6840,0
3582,0
99,1
2973,1
990,0
1969,0
5933,1
5647,0
960,0
4218,0
462,1
327,1
1033,0
4424,1
6683,0
887,0
3631,1
6590,1
229,0
6771,0
533,0
6085,1
771,1
264,0
3244,0
2744,0
2513,0
6888,0
4477,0
132,0
4173,0
2312,0
1974,1
2,1
4879,0
4503,1
925,0
759,0
3902,0
5600,1
91,0
3251,1
5753,0
3443,0
5578,0
5197,0
4976,0
2012,1
7001,1
386,1
5337,0
2468,1
6238,0
2651,1
6747,0
4811,1
3157,1
4298,0
4541,1
6528,0
1144,1
4417,1
5957,1
2525,0
6678,0
1017,0
76,0
5329,1
4296,1
2215,0
4622,0
3621,1
708,0
2418,0
3785,1
2181,0
6743,0
6922,0
1821,1
269,0
5264,0
4120,0
3200,1
2160,0
6877,1
5853,0
1554,0
5116,1
2500,0
1911,0
3876,0
4650,0
2470,0
3184,0
4965,1
2121,0
3259,0
1879,1
3147,0
5839,0
1051,0
5366,0
2345,0
4841,0
3358,0
106,0
2168,1
566,0
6868,1
1765,0
2224,1
6173,0
3664,0
1625,1
6908,1
3338,1
2982,0
119,0
3630,1
2340,0
3916,0
798,0
1611,0
3928,0
5,1
2595,0
1177,0
1716,0
2640,0
1507,0
4536,1
84,0
6461,0
6251,0
5574,0
4362,0
5675,0
5642,0
4920,0
6571,0
6072,0
3328,0
1006,1
4802,0
1074,0
6161,0
1297,0
3506,0
3262,1
1755,0
3051,0
5781,0
5619,0
6474,0
4703,1
449,0
1746,0
5923,0
5886,0
4574,0
3658,0
2038,1
572,0
3273,1
3426,1
2402,0
12,0
5955,0
2351,0
1182,0
4621,0
5663,0
5129,0
6592,0
6202,1
4701,0
5796,0
1369,0
6121,0
3192,0
6166,1
4515,0
2898,0
6125,1
6151,1
6331,0
1390,0
438,0
237,0
2069,1
5993,0
3021,0
1201,0
4123,0
6016,1
942,0
606,0
5162,0
5465,0
1432,0
2965,1
1521,0
1072,0
3544,1
6071,0
2036,0
2582,0
966,1
5525,0
3911,1
611,1
4525,0
781,0
29,1
3825,0
6383,0
4906,0
5256,1
3323,0
186,0
6012,1
1231,0
6423,0
1953,1
5826,1
4652,0
4712,0
998,0
2329,0
2492,1
4486,0
1361,1
2325,0
460,0
2714,0
5710,0
298,0
6342,0
3441,0
540,0
3442,0
5412,0
953,0
6822,1
2032,1
1784,1
6978,0
1565,0
4674,0
128,0
6040,1
2344,0
2856,0
4883,1
307,0
2765,0
5090,1
2959,0
6992,0
5911,0
2882,0
3784,1
4217,0
2298,0
2136,0
4807,0
2466,0
6982,0
5674,0
1591,0
6792,1
1506,0
6713,0
6411,0
4005,1
2724,0
2414,0
151,1
3384,1
4004,0
4087,0
4867,0
6311,0
5472,0
4996,0
2228,0
6178,0
2838,0
5200,0
4422,0
1741,0
4447,0
694,0
1450,0
5806,1
2250,0
4795,1
3787,0
2878,0
5514,0
4933,0
2968,0
1928,1
313,0
2929,0
33,0
4070,0
5778,0
6139,0
3712,0
4517,1
1571,0
4479,0
5798,1
202,0
5706,1
5799,1
2078,0
5752,0
3605,0
6886,1
717,0
2889,0
3614,0
5474,0
1612,1
1081,0
549,0
1807,1
93,0
1039,1
1134,0
3625,0
517,0
5919,0
3524,1
3286,1
4455,1
8,1
1667,0
4134,0
1783,1
6913,0
4474,0
3485,1
6807,0
3208,0
475,1
3258,0
2734,0
2324,1
2912,0
6256,1
6508,1
5546,0
6665,0
834,1
6848,0
5944,1
4959,1
3993,0
4242,0
6631,0
576,0
3168,0
1567,0
1597,0
4111,0
3092,1
5662,1
6983,0
3009,0
1155,0
5562,0
5109,0
4782,0
1558,1
4555,0
1657,0
2779,1
432,0
5439,1
6043,1
3266,0
4381,1
6813,1
1159,1
2453,0
5292,0
1734,1
5537,0
2515,0
818,1
2039,1
2302,0
2076,0
3367,0
6539,0
1693,0
688,0
6268,0
6731,0
5041,0
3878,0
1383,1
5996,0
3504,0
6067,0
4663,1
3427,0
3783,0
4685,0
5415,0
4970,0
4666,0
662,0
3961,0
3294,1
2645,0
5528,0
4231,0
3651,0
1210,1
3310,1
5076,1
6598,0
1320,0
4369,1
3229,1
2016,1
5976,0
2384,0
3007,1
5479,0
4664,1
5249,0
3716,1
2257,0
3653,0
3727,1
6123,0
552,0
3800,0
5516,1
103,0
6689,0
2100,0
636,0
3089,0
5036,1
6111,0
6171,0
6852,0
3347,0
880,1
5225,0
1760,0
5583,1
3667,0
3044,1
6075,0
6504,1
6142,1
5155,0
4046,0
4498,0
724,1
2819,0
6181,0
5609,1
1892,0
5066,0
4927,0
6286,0
1133,0
2831,1
3228,0
3853,0
5241,0
6869,1
5784,0
2804,1
4246,0
5730,0
971,0
6858,1
5629,1
2553,0
6576,0
5559,0
2077,1
1979,0
5392,0
2377,0
6348,0
5768,0
2381,0
5684,1
3912,0
6761,0
2678,0
2977,0
145,0
1322,0
6317,1
3355,0
4962,0
2836,0
5936,0
6308,0
2392,0
118,0
285,0
5423,1
6505,0
2364,0
5845,1
4890,0
689,0
3674,1
448,0
4914,0
710,1
847,0
165,0
2799,0
2362,0
4538,1
6635,0
5916,0
3125,0
3572,0
4494,0
2455,1
399,0
963,0
2571,0
6322,1
1887,1
6270,0
4832,0
5556,1
5293,0
4550,0
5429,0
3549,0
6562,1
2458,0
419,1
529,0
2791,0
7002,0
6253,0
2955,1
5881,0
994,0
3281,0
5563,0
5046,0
4993,0
2736,0
2884,0
6481,0
5697,1
1810,0
4426,0
981,0
5811,0
978,1
550,0
5389,0
2343,0
3812,0
1228,0
6627,0
108,0
1754,0
4700,0
6629,0
1105,0
483,0
5657,0
6739,0
3750,0
6606,1
1884,0
6989,0
5089,0
6372,0
192,0
2620,0
4383,0
6855,0
271,0
3514,0
4575,0
1292,0
4505,0
984,0
2128,0
5175,0
4952,0
2196,0
5387,0
574,0
1268,1
2926,0
5504,1
4072,0
3771,1
4373,0
2835,0
471,1
1348,1
6808,0
2740,1
2630,0
2987,0
6284,0
5538,1
272,1
4377,0
5410,0
6675,0
2361,1
1096,0
6639,0
797,0
3988,0
5240,0
5887,0
4786,0
3278,0
2663,0
3700,1
6607,1
6042,0
1476,0
1056,1
6118,0
876,1
5984,1
7016,0
2719,0
1447,1
21,0
2947,0
65,0
6051,0
15,0
4065,1
2463,0
7042,0
3093,0
4353,1
913,0
5061,0
1136,0
5395,1
5391,0
4093,0
6222,0
1525,0
4277,0
5510,0
3194,1
2484,0
1753,0
5028,0
3153,0
6316,0
5827,0
4709,0
3741,0
5081,0
2294,1
1360,1
2764,0
6642,0
4210,0
5351,1
2461,0
6221,0
6765,0
1958,0
2997,1
1326,0
3139,1
3423,1
4902,0
3478,0
2005,1
3308,0
2531,0
1508,0
6910,0
4729,0
3173,0
6205,1
4679,0
2063,0
2219,0
2544,0
6553,0
2223,1
2369,0
4625,0
822,0
4578,0
2971,0
5222,0
6957,0
64,1
6918,1
1345,0
3815,1
1983,0
860,0
5543,0
5587,0
1036,0
5309,0
371,1
5947,1
1437,0
1737,0
296,0
4454,0
3248,1
1636,0
904,0
4572,0
4071,0
3487,0
2842,0
6324,0
6058,0
2755,0
464,0
6053,0
5101,0
14,0
2061,1
1862,0
1395,1
1875,0
3600,1
6787,0
4833,0
232,1
4273,1
3670,0
1564,1
1989,0
6293,0
1416,0
6870,0
1683,0
1966,0
1610,0
6367,0
6967,1
6080,1
4428,1
4325,0
6517,0
2096,1
1256,0
2046,0
4091,0
6777,0
674,1
2954,1
4439,0
1405,1
1014,1
6968,1
6441,0
3343,0
649,0
6214,0
435,0
1214,1
2941,0
4308,0
5239,0
6028,1
1022,0
752,0
1457,0
617,0
4627,0
5418,0
6484,0
1235,0
3866,0
6081,0
1794,0
3788,1
6045,0
4595,0
687,1
6676,0
5526,0
741,0
840,1
4819,1
637,0
6318,0
6418,0
4236,0
5377,0
3282,0
6659,0
599,0
1158,0
4859,0
255,0
1725,0
2498,0
6229,0
5192,0
2877,1
3708,0
1338,1
3156,0
474,1
2844,1
1484,0
6971,1
3952,0
4750,0
5349,0
3232,0
3660,0
518,1
6015,0
1152,0
5718,1
2533,0
1999,1
1336,0
1411,0
1373,0
2207,1
5946,1
3846,0
3171,0
5566,0
3225,0
4348,1
3464,0
3995,1
4697,0
3526,1
6422,0
7010,1
5065,0
6503,0
173,1
6047,0
5679,1
2594,0
690,0
774,1
5342,1
2634,1
5145,0
4305,0
4189,0
4216,0
443,0
4323,1
2851,0
27,1
3435,0
7018,1
6742,0
2213,0
2462,0
2008,1
524,1
6309,0
2547,0
1038,0
3448,1
4717,0
1595,1
348,0
2220,0
1330,0
5652,0
5746,1
5891,1
4997,1
2748,1
596,0
951,0
7007,0
4492,0
227,1
3011,0
4565,0
2713,0
3098,1
1454,0
6137,1
5461,0
2303,1
4378,0
6101,0
6925,0
1316,0
7023,0
4398,0
4011,0
5685,0
5362,0
6454,0
5918,0
4989,0
2421,0
2198,0
1112,0
5665,0
1990,1
3691,0
4176,0
2808,0
3206,0
5785,0
4984,0
5893,0
4186,0
2287,1
6355,0
3227,0
473,0
2025,0
6842,0
13,1
5965,0
1917,0
3859,0
3091,0
6534,0
1632,1
3592,1
1344,0
563,0
5898,0
4142,0
4850,0
1545,0
3130,0
6006,0
1463,1
2048,1
4495,1
3440,0
6847,0
2049,0
3559,0
3410,1
2091,0
2375,0
3291,0
3141,1
531,0
4987,0
2241,0
2082,0
1836,1
3583,0
4365,0
4347,0
2282,1
1586,0
5344,0
5248,0
1094,0
2057,1
2367,1
3300,0
6762,1
4806,0
2989,0
5967,1
2259,0
4922,0
4262,1
6437,0
1589,0
1193,0
5143,0
3607,0
6297,0
3250,0
102,0
3956,1
6954,0
663,0
5713,0
3277,0
6619,0
6002,1
6823,0
4161,0
5678,1
4375,0
3940,0
1108,0
3076,1
3945,1
3973,0
1261,0
1536,0
808,1
3652,1
2481,0
726,0
2401,0
2738,0
3522,0
1263,1
2391,0
6599,1
2635,0
5012,0
2879,1
2781,0
3502,0
5390,1
2106,0
3019,1
5816,0
6126,1
392,0
3529,0
5214,1
441,0
3042,1
1739,1
4724,0
6829,0
5591,1
4828,0
2862,1
2527,1
6329,0
4669,0
5457,0
3201,0
7003,0
3115,1
5913,0
6531,0
5102,0
5654,0
424,0
728,1
1924,0
779,1
6721,0
6614,0
6273,1
47,1
5595,0
2346,0
4506,0
1068,1
2217,0
2555,0
350,0
131,1
3131,0
3536,0
4924,1
6841,0
4771,1
2203,0
4169,1
261,1
3856,0
2631,1
6511,0
2992,0
4066,0
4263,0
6412,0
4842,1
2385,0
2998,0
4542,0
428,0
101,0
5904,0
2439,0
3552,0
2817,0
513,0
1514,0
4468,1
3851,0
4900,1
4654,0
2669,1
5948,0
6797,0
3997,0
4382,0
1206,0
401,0
3977,0
5047,0
5890,0
2600,0
2450,0
6034,0
57,0
2653,0
159,0
2850,0
3500,0
888,0
6589,0
344,0
4198,0
6021,0
3013,0
996,1
7035,0
5633,0
4049,0
3292,0
317,1
737,0
6087,0
4358,0
2961,0
3695,0
2824,0
3210,0
6485,0
2849,0
1243,1
3702,1
718,0
385,1
968,0
3681,1
1380,0
656,0
3420,0
11,0
4272,1
4665,0
2709,0
156,0
2880,0
3751,0
6564,0
2816,0
2398,0
1857,0
1606,0
6647,0
6435,0
4405,1
713,0
6926,1
3364,1
3968,0
5282,1
3447,0
5016,1
2503,0
2652,0
5294,0
3957,0
3811,0
4937,0
6465,0
6912,0
472,0
3450,0
3492,0
2479,0
4269,1
5406,0
324,0
283,0
4630,0
4406,0
4284,0
2707,1
2131,0
1116,0
4041,0
382,0
2135,0
6545,1
4682,1
4017,0
839,0
5048,0
4531,1
5224,0
541,0
4453,1
1656,0
4255,1
2932,0
4704,0
2440,0
4805,0
1785,0
3247,0
4631,1
5512,0
1835,0
5766,0
3892,0
5820,0
2144,0
3174,0
6558,1
907,0
4929,0
6981,0
1902,0
6429,0
605,0
5621,1
582,1
1103,0
1885,0
2253,0
5580,0
554,1
1098,0
5055,0
956,0
6610,0
3120,0
2252,0
6939,0
4653,1
4530,0
2349,0
1171,1
4779,0
1706,0
2382,0
5950,0
6145,0
2007,1
844,1
4409,0
2104,1
645,1
5172,0
6530,0
6790,0
2685,0
2368,0
787,0
4731,0
4346,0
2908,1
6867,0
5795,0
2464,1
2264,0
3123,0
4749,1
4608,0
1703,0
6133,0
1221,0
947,0
1250,0
6732,0
1248,1
5141,0
3509,0
1952,0
5873,0
6956,0
3821,1
4969,0
6899,1
3288,0
673,0
17,0
3887,1
4256,0
1771,1
2662,1
1590,0
2067,0
4958,0
6226,0
2934,0
7030,0
4623,0
1472,1
1906,0
2506,0
5837,0
6152,1
5111,1
2276,0
6996,1
4196,0
2129,1
5473,0
6343,0
3950,1
2942,0
6682,0
4326,1
3576,0
6368,1
5968,1
6023,0
6549,1
4491,0
6633,1
5279,0
4615,0
3863,0
6751,0
4780,0
297,0
5616,0
3380,1
1379,0
4598,0
6175,0
3677,0
169,0
3493,0
1278,0
6680,1
5173,0
4513,1
2891,1
1,0
2165,0
2451,1
1305,0
2691,0
2549,0
3036,0
6057,0
2433,0
3757,0
3816,0
2737,0
437,0
1125,1
6100,1
1675,1
2881,0
6200,0
3388,0
698,0
1130,0
607,0
4341,1
970,1
2592,0
2050,0
5112,1
5688,0
1826,0
430,1
1800,0
4261,0
5851,0
5148,0
6068,1
3984,0
2342,0
3665,0
3408,1
2017,0
2771,0
1664,1
4557,0
4606,0
6700,0
6212,0
5970,0
5117,0
4892,0
1147,0
1020,0
3974,0
2304,0
1959,0
1793,0
1608,0
3725,1
853,0
444,0
402,1
5530,0
6734,1
5888,1
245,0
6298,0
1786,1
985,1
987,0
5823,0
5168,1
4715,0
478,1
2274,1
3920,0
4415,0
5644,1
5213,0
2132,0
672,1
6330,0
3319,1
4788,0
3948,0
1143,0
812,0
6188,0
5570,0
3627,0
2599,0
1028,1
4738,1
2411,0
3913,0
5700,0
6254,0
2715,0
5880,1
3897,0
2944,0
1398,0
6360,1
3923,1
2064,0
6609,1
75,0
1566,0
4266,1
2937,0
3437,0
815,0
1451,0
1236,1
359,0
1517,0
6729,0
3955,0
6345,0
4837,1
208,1
1997,0
3585,0
4174,1
2163,1
97,1
5025,0
2297,1
1406,0
22,1
555,0
6501,0
3596,1
1890,1
2558,0
592,0
2141,0
5963,0
5178,0
4696,0
6114,0
3775,1
4809,0
6812,0
2619,1
6385,1
3656,0
5204,0
6622,1
3548,0
4767,0
2540,0
5114,0
6388,1
3199,0
1018,0
6249,0
1903,0
190,0
4113,0
5725,0
5584,1
5070,1
144,0
1079,0
4662,0
3164,0
1942,0
1441,0
2323,1
2711,1
5189,0
2537,0
3786,0
5709,0
4182,1
6282,0
813,0
2120,0
3642,0
5254,0
6804,0
5807,0
1949,0
610,1
4917,0
4322,0
40,0
3473,1
6462,1
1313,1
2868,0
4932,0
1721,1
5064,1
6557,0
6433,0
6074,1
1972,0
3475,0
4356,0
2105,1
857,1
562,0
6894,1
4758,0
2948,1
6851,0
1672,0
5487,0
2642,1
4185,0
2756,1
2270,1
3035,0
2358,0
2058,0
6693,0
790,0
712,0
2409,0
1122,1
3461,0
1282,0
2588,0
4569,1
6174,1
4482,1
3226,0
4901,1
6143,0
2026,0
6661,0
1587,0
5772,0
4149,1
1490,0
5979,0
451,0
2279,0
3284,0
1704,1
1272,0
4043,0
357,0
2124,1
3444,0
6382,0
5232,0
4063,1
6415,0
950,1
633,0
6350,0
6658,1
2762,0
5379,0
3604,0
1331,0
6493,0
4955,1
4106,1
4644,0
2472,0
5607,1
3703,0
394,0
6660,1
909,0
6245,0
239,0
1599,0
1431,0
1714,0
1024,0
5266,0
2267,0
2794,0
3003,1
4150,0
3764,0
3934,0
1528,0
1823,1
2431,1
1883,1
3855,0
2976,0
1304,1
5744,0
1985,1
4603,0
3087,1
6696,0
4523,0
2551,0
3781,0
6831,1
5793,0
5994,1
1492,1
5115,0
2256,0
4864,0
2326,0
5269,0
4466,1
3706,0
4616,0
2964,0
6770,0
1356,0
3581,0
5531,0
3407,0
6905,0
3693,0
5569,1
436,0
908,0
6673,0
4935,0
3362,1
3176,0
5083,0
3754,0
5393,1
6392,0
3535,0
1532,0
6258,0
343,0
5748,0
3813,0
3985,0
5767,0
2328,0
1277,0
3919,1
1585,0
5547,1
2112,0
2936,0
1954,1
4475,0
2189,0
1535,0
4727,0
5980,0
49,0
6193,0
4581,0
910,1
3187,0
5833,0
4836,0
6469,0
3836,0
5040,0
2628,0
5773,0
5681,0
976,1
4086,0
4178,0
6150,0
600,0
5704,0
1366,1
1552,0
4967,1
